2023-05-23T08:43:14.286+05:00  INFO 20460 --- [main] ProductColorManagementServiceApplication : Starting ProductColorManagementServiceApplication using Java 19.0.1 with PID 20460 (D:\University Work\FYP\Easy-Electro-Shop-Backend\product-color-management-service\target\classes started by Talha Rizwan in D:\University Work\FYP\Easy-Electro-Shop-Backend)
2023-05-23T08:43:14.295+05:00  INFO 20460 --- [main] ProductColorManagementServiceApplication : No active profile set, falling back to 1 default profile: "default"
2023-05-23T08:43:15.358+05:00  INFO 20460 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-05-23T08:43:15.524+05:00  INFO 20460 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 156 ms. Found 1 JPA repository interfaces.
2023-05-23T08:43:15.761+05:00  INFO 20460 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=a5ad90ed-f4c3-31d4-bcc6-d5b72dcdcc93
2023-05-23T08:43:16.170+05:00  INFO 20460 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8085 (http)
2023-05-23T08:43:16.177+05:00  INFO 20460 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-05-23T08:43:16.177+05:00  INFO 20460 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-05-23T08:43:16.261+05:00  INFO 20460 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-05-23T08:43:16.261+05:00  INFO 20460 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1656 ms
2023-05-23T08:43:16.422+05:00  INFO 20460 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2023-05-23T08:43:16.485+05:00  INFO 20460 --- [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.1.7.Final
2023-05-23T08:43:16.772+05:00  INFO 20460 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2023-05-23T08:43:17.082+05:00  INFO 20460 --- [main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@14e3d439
2023-05-23T08:43:17.083+05:00  INFO 20460 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2023-05-23T08:43:17.144+05:00  INFO 20460 --- [main] SQL dialect                              : HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2023-05-23T08:43:17.839+05:00  INFO 20460 --- [main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-05-23T08:43:17.848+05:00  INFO 20460 --- [main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-05-23T08:43:18.090+05:00  WARN 20460 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-05-23T08:43:18.535+05:00  INFO 20460 --- [main] DiscoveryClientOptionalArgsConfiguration : Eureka HTTP Client uses RestTemplate.
2023-05-23T08:43:18.629+05:00  WARN 20460 --- [main] iguration$LoadBalancerCaffeineWarnLogger : Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2023-05-23T08:43:18.647+05:00  INFO 20460 --- [main] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2023-05-23T08:43:18.745+05:00  INFO 20460 --- [main] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
2023-05-23T08:43:18.749+05:00  INFO 20460 --- [main] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2023-05-23T08:43:18.772+05:00  INFO 20460 --- [main] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2023-05-23T08:43:18.773+05:00  INFO 20460 --- [main] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2023-05-23T08:43:18.773+05:00  INFO 20460 --- [main] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2023-05-23T08:43:18.773+05:00  INFO 20460 --- [main] com.netflix.discovery.DiscoveryClient    : Application is null : false
2023-05-23T08:43:18.773+05:00  INFO 20460 --- [main] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2023-05-23T08:43:18.773+05:00  INFO 20460 --- [main] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
2023-05-23T08:43:18.773+05:00  INFO 20460 --- [main] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2023-05-23T08:43:19.154+05:00  INFO 20460 --- [main] com.netflix.discovery.DiscoveryClient    : The response status is 200
2023-05-23T08:43:19.156+05:00  INFO 20460 --- [main] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 30
2023-05-23T08:43:19.161+05:00  INFO 20460 --- [main] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
2023-05-23T08:43:19.165+05:00  INFO 20460 --- [main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1684813399165 with initial instances count: 0
2023-05-23T08:43:19.168+05:00  INFO 20460 --- [main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application PRODUCT-COLOR-MANAGEMENT-SERVICE with eureka with status UP
2023-05-23T08:43:19.169+05:00  INFO 20460 --- [main] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1684813399169, current=UP, previous=STARTING]
2023-05-23T08:43:19.171+05:00  INFO 20460 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_PRODUCT-COLOR-MANAGEMENT-SERVICE/DESKTOP-BN5T0OQ:product-color-management-service:8085: registering service...
2023-05-23T08:43:19.203+05:00  INFO 20460 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8085 (http) with context path ''
2023-05-23T08:43:19.208+05:00  INFO 20460 --- [main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 8085
2023-05-23T08:43:19.261+05:00  INFO 20460 --- [main] ProductColorManagementServiceApplication : Started ProductColorManagementServiceApplication in 5.505 seconds (process running for 6.485)
2023-05-23T08:43:19.301+05:00  INFO 20460 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_PRODUCT-COLOR-MANAGEMENT-SERVICE/DESKTOP-BN5T0OQ:product-color-management-service:8085 - registration status: 204
2023-05-23T08:43:49.160+05:00  INFO 20460 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2023-05-23T08:43:49.160+05:00  INFO 20460 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2023-05-23T08:43:49.160+05:00  INFO 20460 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2023-05-23T08:43:49.160+05:00  INFO 20460 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Application is null : false
2023-05-23T08:43:49.161+05:00  INFO 20460 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2023-05-23T08:43:49.161+05:00  INFO 20460 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Application version is -1: false
2023-05-23T08:43:49.161+05:00  INFO 20460 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2023-05-23T08:43:49.182+05:00  INFO 20460 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : The response status is 200
2023-05-23T08:48:18.775+05:00  INFO 20460 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2023-05-23T08:53:18.783+05:00  INFO 20460 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2023-05-23T08:58:18.785+05:00  INFO 20460 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2023-05-23T09:00:37.732+05:00  INFO 20460 --- [http-nio-8085-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-23T09:00:37.732+05:00  INFO 20460 --- [http-nio-8085-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2023-05-23T09:00:37.733+05:00  INFO 20460 --- [http-nio-8085-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2023-05-23T09:00:37.762+05:00  INFO 20460 --- [http-nio-8085-exec-1] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:00:37.879+05:00  INFO 20460 --- [http-nio-8085-exec-1] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:00:55.387+05:00  INFO 20460 --- [http-nio-8085-exec-2] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:00:55.392+05:00  INFO 20460 --- [http-nio-8085-exec-2] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:01:58.405+05:00  INFO 20460 --- [http-nio-8085-exec-3] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:01:58.410+05:00  INFO 20460 --- [http-nio-8085-exec-3] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:02:12.054+05:00  INFO 20460 --- [http-nio-8085-exec-5] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:02:12.061+05:00  INFO 20460 --- [http-nio-8085-exec-5] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:02:58.590+05:00  INFO 20460 --- [http-nio-8085-exec-8] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:02:58.596+05:00  INFO 20460 --- [http-nio-8085-exec-8] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:03:04.295+05:00  INFO 20460 --- [http-nio-8085-exec-9] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:03:04.301+05:00  INFO 20460 --- [http-nio-8085-exec-9] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:03:09.086+05:00  INFO 20460 --- [http-nio-8085-exec-6] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:03:09.091+05:00  INFO 20460 --- [http-nio-8085-exec-6] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:03:18.792+05:00  INFO 20460 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2023-05-23T09:03:41.042+05:00  INFO 20460 --- [http-nio-8085-exec-7] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:03:41.047+05:00  INFO 20460 --- [http-nio-8085-exec-7] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:03:42.677+05:00  INFO 20460 --- [http-nio-8085-exec-10] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:03:42.682+05:00  INFO 20460 --- [http-nio-8085-exec-10] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
