2023-04-18T11:27:35.054+05:00  INFO 4572 --- [main] .e.p.ProductManagementServiceApplication : Starting ProductManagementServiceApplication using Java 19.0.1 with PID 4572 (D:\University Work\FYP\Easy-Electro-Shop-Backend\product-managment-service\target\classes started by Talha Rizwan in D:\University Work\FYP\Easy-Electro-Shop-Backend\product-managment-service)
2023-04-18T11:27:35.056+05:00  INFO 4572 --- [main] .e.p.ProductManagementServiceApplication : No active profile set, falling back to 1 default profile: "default"
2023-04-18T11:27:35.907+05:00  INFO 4572 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-04-18T11:27:36.040+05:00  INFO 4572 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 121 ms. Found 1 JPA repository interfaces.
2023-04-18T11:27:36.254+05:00  INFO 4572 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=0039ad4e-b7ec-37ea-89d8-c89198ebf868
2023-04-18T11:27:36.611+05:00  INFO 4572 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8081 (http)
2023-04-18T11:27:36.627+05:00  INFO 4572 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-04-18T11:27:36.627+05:00  INFO 4572 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-18T11:27:36.722+05:00  INFO 4572 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-04-18T11:27:36.722+05:00  INFO 4572 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1623 ms
2023-04-18T11:27:36.998+05:00  INFO 4572 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2023-04-18T11:27:37.054+05:00  INFO 4572 --- [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.1.7.Final
2023-04-18T11:27:37.366+05:00  INFO 4572 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2023-04-18T11:27:37.673+05:00  INFO 4572 --- [main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5d0e703a
2023-04-18T11:27:37.675+05:00  INFO 4572 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2023-04-18T11:27:37.725+05:00  INFO 4572 --- [main] SQL dialect                              : HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2023-04-18T11:27:38.560+05:00  INFO 4572 --- [main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-04-18T11:27:38.568+05:00  INFO 4572 --- [main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-04-18T11:27:38.862+05:00  WARN 4572 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-04-18T11:27:39.337+05:00  INFO 4572 --- [main] DiscoveryClientOptionalArgsConfiguration : Eureka HTTP Client uses RestTemplate.
2023-04-18T11:27:39.375+05:00  WARN 4572 --- [main] iguration$LoadBalancerCaffeineWarnLogger : Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2023-04-18T11:27:39.383+05:00  INFO 4572 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 2 endpoint(s) beneath base path '/actuator'
2023-04-18T11:27:39.443+05:00  INFO 4572 --- [main] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2023-04-18T11:27:39.524+05:00  INFO 4572 --- [main] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
2023-04-18T11:27:39.529+05:00  INFO 4572 --- [main] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2023-04-18T11:27:39.545+05:00  INFO 4572 --- [main] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2023-04-18T11:27:39.547+05:00  INFO 4572 --- [main] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2023-04-18T11:27:39.547+05:00  INFO 4572 --- [main] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2023-04-18T11:27:39.547+05:00  INFO 4572 --- [main] com.netflix.discovery.DiscoveryClient    : Application is null : false
